Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2006","2105.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2007","2605.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2008","3205.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2009","4305.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2010","4705.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2011","5205.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2012","5205.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2013","5205.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1961","46000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1962","49000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1963","52000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1964","54000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1965","56000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1966","58000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1967","59000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1968","60000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1969","61000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1970","62000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1971","63000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1972","64000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1973","65000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1974","66000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1975","67000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1976","68000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1977","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1978","70000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1979","71000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1980","73000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1981","76000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1982","78000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1983","74000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1984","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1985","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1986","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1987","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1988","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1989","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1990","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1991","69000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1992","71000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1993","73000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1994","75000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1995","74000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1996","63000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1997","55000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1998","55000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","1999","40000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2000","40000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2001","32000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2002","32000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2003","35000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2004","40000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2005","53000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2006","74000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2007","73075.00","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2008","80290.00","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","197","Sierra Leone","5318","Milk Animals","882","Milk, whole fresh cow","2009","95000.00","F","FAO estimate"
